,title,timestamp,generations
0,.pm,2004-12-31 00:00:00,2
1,.pm,2005-12-31 00:00:00,7
2,.pm,2006-12-31 00:00:00,22
3,.pm,2007-12-31 00:00:00,18
4,.pm,2008-12-31 00:00:00,12
5,.pm,2009-12-31 00:00:00,3
6,.pm,2010-12-31 00:00:00,10
7,.pm,2011-12-31 00:00:00,13
8,.pm,2013-12-31 00:00:00,4
9,11th Alpini Regiment,2007-12-31 00:00:00,6
10,11th Alpini Regiment,2008-12-31 00:00:00,1
11,11th Alpini Regiment,2009-12-31 00:00:00,3
12,11th Alpini Regiment,2010-12-31 00:00:00,5
13,11th Alpini Regiment,2011-12-31 00:00:00,4
14,11th Alpini Regiment,2012-12-31 00:00:00,6
15,11th Alpini Regiment,2013-12-31 00:00:00,3
16,11th Alpini Regiment,2014-12-31 00:00:00,1
17,14th Manitoba Legislature,2012-12-31 00:00:00,4
18,14th Manitoba Legislature,2013-12-31 00:00:00,7
19,14th Manitoba Legislature,2014-12-31 00:00:00,3
20,14th Manitoba Legislature,2015-12-31 00:00:00,3
21,1535 Päijänne,2008-12-31 00:00:00,4
22,1535 Päijänne,2009-12-31 00:00:00,7
23,1535 Päijänne,2010-12-31 00:00:00,5
24,1535 Päijänne,2011-12-31 00:00:00,7
25,1535 Päijänne,2012-12-31 00:00:00,2
26,1535 Päijänne,2013-12-31 00:00:00,2
27,1535 Päijänne,2015-12-31 00:00:00,3
28,1535 Päijänne,2016-12-31 00:00:00,5
29,1667 in France,2015-12-31 00:00:00,1
30,172nd Infantry Brigade (United States),2005-12-31 00:00:00,22
31,172nd Infantry Brigade (United States),2006-12-31 00:00:00,39
32,172nd Infantry Brigade (United States),2007-12-31 00:00:00,31
33,172nd Infantry Brigade (United States),2008-12-31 00:00:00,148
34,172nd Infantry Brigade (United States),2009-12-31 00:00:00,34
35,172nd Infantry Brigade (United States),2010-12-31 00:00:00,43
36,172nd Infantry Brigade (United States),2011-12-31 00:00:00,27
37,172nd Infantry Brigade (United States),2012-12-31 00:00:00,18
38,172nd Infantry Brigade (United States),2013-12-31 00:00:00,23
39,172nd Infantry Brigade (United States),2014-12-31 00:00:00,10
40,172nd Infantry Brigade (United States),2015-12-31 00:00:00,15
41,172nd Infantry Brigade (United States),2016-12-31 00:00:00,6
42,1855 in Scotland,2013-12-31 00:00:00,4
43,1855 in Scotland,2014-12-31 00:00:00,12
44,1855 in Scotland,2015-12-31 00:00:00,5
45,1855 in Scotland,2016-12-31 00:00:00,10
46,1898 VPI football team,2015-12-31 00:00:00,11
47,1898 VPI football team,2016-12-31 00:00:00,4
48,1915 Quetzalcóatl,2016-12-31 00:00:00,2
49,1925 Florida Gators football team,2007-12-31 00:00:00,1
